ID,R,G,B,Saturacao,Claros,Escuros,Textura,Circularidade
0,43,40,39,26.26528662420382,0,5353,2.9510414910747937,0.8206457820856524
1,101,98,94,18.69918699186992,0,0,4.9363768801178605,0.002389795046772009
2,32,30,31,19.79594472426708,0,7185,3.0857008942337343,0.8175052783506737
3,33,32,32,17.466183574879228,0,6044,3.202910336793778,0.8332467920198415
4,46,45,43,19.81548069644209,0,4277,2.930652413745846,0.8595287839028126
9,97,96,92,17.359649122807017,0,4,2.846679412067016,0.0042869568216995805
11,91,90,87,15.210169491525424,0,17,3.320006304176517,0.002883003718234467
12,102,100,96,15.472560975609756,0,0,4.3294258402713535,0.0014011672596565663
13,34,32,32,18.217298187808897,0,5597,2.381649364443074,0.8553133756121805
14,106,106,102,12.362264150943396,0,1,3.9230901428718266,0.0035096349165150624
15,45,43,40,26.960812772133526,0,4483,2.4087134683249394,0.8304594303308922
16,35,33,33,23.920510304219825,0,5456,2.418237160379621,0.8308197223607497
17,39,34,32,42.65287539936102,0,5259,2.9062168773769144,0.7991658955617073
18,96,94,91,15.659400544959128,0,4,4.210593757494775,0.0016053976449067198
19,42,41,40,16.85356780520798,0,5171,2.672922328433892,0.8550869182703393
20,95,95,92,11.144329896907216,0,0,3.44986493987049,0.0027554827280202743
21,27,25,25,27.06237698713096,0,6258,2.2095538424641106,0.8108937650542037
22,27,26,26,17.966346629713946,0,9583,3.19729276732792,0.8084356692483483
23,31,29,29,24.155028107432855,0,7509,2.844970980230925,0.8042927113394193
24,36,35,34,21.85684244581042,0,5563,2.8555392469250007,0.7859574730463559
25,98,96,92,17.258160237388726,0,13,4.249693082536746,0.002861326030588404
26,99,94,90,22.494880546075084,0,5,3.5564877513961695,0.0028710992456130267
27,83,80,78,16.113636363636363,0,9,1.1769782437386507,0.005379262982630563
28,43,42,41,16.197081462475946,0,5278,2.551441943330935,0.8303957290940106
29,104,104,99,12.89308176100629,0,1,2.2564070305272894,0.005167017471113793
30,27,24,25,24.670207852193997,0,8238,2.564946859903382,0.8329680623742782
31,101,102,98,9.36111111111111,0,0,4.016352211601055,0.0018342287167390603
33,29,29,29,6.544348090673969,0,6142,3.0276723198684348,0.8259766415597277
34,34,31,31,29.918480492813142,0,4388,1.930643094528386,0.8177936015431965
35,36,36,36,8.314242270653827,0,5207,2.32804906293898,0.8215126881783099
36,35,35,34,9.181233062330623,0,5414,2.3925769691986156,0.8285830301099479
37,36,34,34,17.95947350190509,0,5134,2.554492342481242,0.8474621223198495
38,98,96,93,12.931297709923664,0,2,3.270034741494501,0.0018149886897545137
39,33,30,30,25.21902945033981,0,7594,3.039327097680474,0.8395965664458522
40,38,32,31,50.72799412196914,0,6233,2.85882427107959,0.8270636660514302
41,33,32,32,8.131521342575702,0,5108,2.285902353787645,0.8213611571638741
42,79,76,74,20.696296296296296,0,42,2.4386081474629115,0.003198719826122174
43,35,33,32,30.572876071706936,0,4629,2.586588823791414,0.8292345927343215
44,43,43,42,10.105117340286832,0,5323,3.0330607462226333,0.8255191291586356
45,31,30,30,22.833552343407796,0,4217,1.898426011580498,0.8452075279639671
46,38,37,37,11.559641742434524,0,6710,2.8364926850995307,0.8170198026043235
47,80,78,75,15.823863636363637,0,40,3.283654229622777,0.0029470872501780403
48,92,92,89,12.782051282051283,0,14,2.6904824750745195,0.0043515356119350635
50,86,84,82,15.25418060200669,0,23,3.1070753417617434,0.0026505416201940417
51,35,34,33,16.76966473243069,0,5774,2.395609278103265,0.8492836182934353
52,87,86,85,9.666666666666666,0,16,2.5742019392195155,0.003574580420041374
53,28,27,27,17.734112611129405,0,5590,2.022105457909343,0.8341723674155918
54,36,36,35,10.323393077873918,0,5789,2.312735395895433,0.859901942336003
55,95,92,89,16.0,0,1,3.742081063487169,0.0020352705199454062
56,36,36,36,8.626788908765652,0,3861,2.158248535306815,0.8075052763831969
57,38,37,36,18.691074419717637,0,3684,2.4174658580875046,0.8545712681082599
58,30,29,29,10.948369119816423,0,5695,3.0292313701305376,0.8189672774961665
59,28,26,26,27.559288275129465,0,7098,3.24684414294035,0.7931709313172208
60,35,35,34,11.132350934643199,0,6874,3.3346067769897556,0.8244638728618482
61,31,30,30,9.214619977408423,0,5858,2.8411232397985406,0.8076297858461973
62,26,24,24,20.690006618133687,0,7141,3.0427223078767947,0.8442809099716507
63,101,101,99,6.841897233201581,0,2,3.6202651865556583,0.0031959566592933124
65,29,28,28,14.323079627351028,0,5324,2.901059238702162,0.8355156592988878
67,31,30,30,8.852249408050513,0,5939,3.082006920889437,0.8536404280564213
68,34,32,31,20.95825771324864,0,5017,2.6209644019597764,0.8117097743886297
69,92,92,91,6.372469635627531,0,10,2.9281715832391133,0.0029330812362278317
70,98,94,91,19.394812680115272,2,5,4.749279610785623,0.002638485604021705
71,36,36,35,10.779048681824522,0,6694,3.2594034330352555,0.8241411066835865
72,36,35,35,9.401805869074492,0,6015,2.738636790351869,0.8559626758802883
73,28,26,26,25.814319433516914,0,5956,2.7741608250248397,0.8084375342739065
74,61,54,48,55.916219839142094,0,2275,3.301556446363107,0.8369757838022012
76,89,86,82,20.626038781163434,0,32,4.034951450988454,0.0031323014794571737
77,44,37,35,56.623600895426925,0,4632,2.8194442731353,0.8575937577327027
78,82,80,78,16.52127659574468,0,35,2.8050871963545414,0.0019433827816569456
79,33,32,31,24.020499108734402,0,5055,2.1589707746599514,0.8127340713778157
80,93,91,89,13.27007299270073,0,14,3.5493719806763284,0.0027801850785624045
81,93,90,87,17.970666666666666,0,10,4.336411416041388,0.0018849715565268793
82,32,31,29,21.719776174348404,0,6418,2.38173268921095,0.8422789049323732
83,83,82,79,14.533536585365853,0,39,3.291969164353993,0.003215290475647657
84,33,33,32,10.339257188498403,0,4710,2.8370800698941308,0.7964678903772379
85,84,82,80,12.955696202531646,0,34,3.3563915441806285,0.0017520085895112289
86,95,95,93,8.30379746835443,0,7,3.0794241271799088,0.0036095193021434863
87,36,35,34,17.350255536626918,0,5329,2.8531757289204096,0.8097829186858293
88,30,29,29,12.305673485140872,0,4876,2.5522976667694524,0.8288936698684098
89,28,28,28,7.287012825301955,0,7648,3.195704663034913,0.823075527807227
90,101,102,101,5.741538461538462,0,0,4.724053859595025,0.0024832913094337845
91,29,28,29,10.32930165586753,0,6569,2.9502556617672253,0.8500839899764818
92,31,30,29,26.1870514135052,0,6306,2.4738654880597526,0.852559062771615
93,62,60,59,14.134868421052632,0,98,1.8192482954740123,0.001960384662667311
94,29,28,27,24.998891045189907,0,6670,2.616733477233015,0.8423602210116817
95,31,30,30,13.701530612244898,0,5912,2.621961010038716,0.8045458118208884
96,33,32,32,12.761811023622048,0,5209,2.500958645972522,0.8327766602015612
97,40,40,40,7.683001893939394,0,3778,2.634549080069894,0.7999123916504179
98,54,51,47,35.237022526934375,0,2217,3.1906577585911537,0.8200016601653048
99,27,26,26,21.906283118849355,0,6320,1.8330914448213245,0.820420724627055
100,36,34,33,22.73448658943025,0,5746,2.954085311953952,0.8158444578205404
101,86,84,82,14.260450160771704,0,38,3.3679989036214755,0.0020998752262293262
102,35,33,31,25.89827742520399,0,5063,2.3732955082742317,0.8505499217384118
103,78,76,73,17.779467680608366,0,25,2.251999588858053,0.0019206098434171165
104,94,94,92,9.59620596205962,0,10,4.746617329633056,0.002265466246104176
105,25,25,25,9.821625994337333,0,7106,2.4528668242710796,0.8206452394512359
106,32,31,31,8.326891311529566,0,5661,3.294633090074348,0.8487695921732993
107,37,35,35,18.31570030120482,0,4701,2.444109774899784,0.8339686541793175
108,90,88,84,17.152737752161382,0,34,3.8709696782814267,0.002000000397653313
109,28,27,27,13.58834008097166,0,5847,2.5352075924212834,0.7970303678965149
110,44,39,37,41.05036344755971,0,2609,2.364603145235893,0.7948163874256754
111,79,78,77,11.046822742474916,0,43,2.826554287867886,0.0029372086666061494
112,31,30,29,17.613299000302938,0,6227,2.5959359989036215,0.8226752366758553
113,82,81,79,13.145522388059701,0,27,2.6989273306609105,0.0022306853584295075
114,33,32,31,14.733956062964886,0,5351,2.6242724500633843,0.8801349718124573
115,67,66,65,16.153284671532848,0,93,2.1686337067872685,0.0023335111439558008
116,93,92,89,12.716012084592146,0,38,4.275230205228355,0.002646628251724279
117,41,40,40,11.526400862068966,0,4735,3.1212010826737933,0.8366942680450445
118,32,32,31,11.052101646156306,0,5888,3.0613363483742764,0.8088193636734975
119,65,62,59,30.08675799086758,0,65,1.3722057080206942,0.0031735006390175213
120,94,92,89,15.25,0,10,3.769325521636345,0.003037695316288709
121,86,85,83,10.77445652173913,0,42,4.002765066639257,0.00200590486423393
122,89,88,85,10.94047619047619,0,32,2.9431996436769796,0.0027900471769568974
123,86,84,82,13.783783783783784,0,27,3.6253625244115533,0.0026793448233766995
124,34,33,31,19.829671011793916,0,7538,3.577247678761092,0.8235481398895096
125,39,38,38,12.251541095890412,0,5341,2.761050878815911,0.8628406907236772
126,41,39,38,20.732594644506,0,4686,2.853393634152191,0.7986524726620163
127,92,89,86,16.61849710982659,0,8,4.00068551067256,0.0033736661242494896
128,32,31,31,10.495959749961884,0,6165,3.4373862335971492,0.8112456502096778
129,103,100,97,17.853211009174313,0,12,3.225653612909857,0.0033533582810555476
130,37,36,35,15.886647050581477,0,6370,2.6453190804125124,0.8353642220963974
131,98,96,93,18.18354430379747,0,4,4.176165004967965,0.0021813182200486423
132,40,39,37,23.700033255736614,0,4997,2.709502175626135,0.8260079800359204
133,38,36,35,21.434569732937685,0,5828,3.1110425874533183,0.8404585032754757
134,40,38,36,24.18631492168178,0,6432,2.4614890190838388,0.8107522137792041
136,39,38,37,19.662370370370372,0,6056,2.5228037139822526,0.8539374220139965
137,39,38,36,22.38871292830406,0,5939,2.668165416109912,0.8454909837335064
138,68,65,63,20.333333333333332,0,33,0.8614854558536335,0.006776278632293154
139,99,97,93,19.013377926421406,0,5,4.09169479562819,0.0035018253762238386
140,42,41,40,10.47534516765286,0,5561,2.8581949498064207,0.8499020313325119
141,40,39,38,15.418563922942207,0,5192,3.4436926028711414,0.7995282186260566
142,64,61,60,24.132450331125828,0,44,0.9872203378216329,0.0054997773927021616
143,80,80,78,15.351063829787234,0,40,2.0397914139856788,0.004102097231424678
144,98,97,93,14.371681415929203,0,25,3.0860180217219995,0.002297112423093229
145,101,100,97,16.180790960451976,0,10,2.536925617569466,0.0037533831408756565
146,97,96,92,15.849840255591054,0,11,4.143795525405146,0.0018870236220587893
147,109,104,100,23.947712418300654,0,2,4.782887998081337,0.001984021548585635
148,41,40,38,20.05630165289256,0,5017,3.326990509473396,0.7197950475620059
149,81,80,77,16.791411042944784,0,38,3.1979804707575292,0.0023641206598351257
150,39,38,36,19.775230602278892,0,6035,3.246626237708569,0.8522596323848284
151,101,99,96,14.207142857142857,0,0,3.7177348819679996,0.002318621720484334
152,42,41,39,24.185317177476836,0,4900,3.062668174187138,0.8210607894608365
153,32,31,30,19.236653049725312,0,6699,3.277248089903039,0.7249683730086108
154,40,38,37,21.4907034397273,0,5941,3.39850481378696,0.7947376924456303
155,35,33,33,18.46329966329966,0,5515,3.2465969095830336,0.8581145976681263
156,43,42,40,20.266804856381405,0,5799,3.4072267790454656,0.8043756855973009
157,35,33,34,17.741532199447594,0,6404,3.4272680302874567,0.8326179159371963
158,65,64,61,19.671755725190838,0,39,0.876533251104944,0.006044050067351583
159,101,100,96,15.459627329192546,0,1,2.310914037071299,0.004397638138788103
160,36,34,34,16.888040712468193,0,4663,2.930491246102717,0.8433436216440803
161,104,104,99,16.45662100456621,0,6,3.2671493473121593,0.0026013571721925127
162,34,33,33,14.03130677847659,0,6697,2.8049337033610855,0.8387089535686756
163,37,36,35,20.737547892720308,0,6959,3.545240278206051,0.846615842215228
164,96,94,90,20.222535211267605,0,16,4.788034672970843,0.0025488101390328836
165,99,99,95,15.193548387096774,0,32,4.828174187138109,0.0025355182324548315
166,55,53,49,32.00403280010754,0,2517,3.765109123925035,0.8114656972633958
